Grid,Range,Avg_Accuracy,Lowest Accuracy,Avg_Faster
50x5,1 - 100,99.975%,99.851%,102.746%
50x5,1 - 500,100.0%,100%,102.224%
50x5,1 - 1000,99.999%,99.986%,95.839%
50x10,1 - 5,86.008%,79.348%,1609.114%
50x10,1 - 10,88.015%,79.487%,1356.486%
50x10,1 - 20,97.784%,95.133%,363.801%
50x10,1 - 50,99.873%,99.503%,118.2%
50x10,1 - 100,100.0%,100%,108.455%
50x10,1 - 500,100.0%,100%,110.441%
50x10,1 - 1000,100.0%,100%,100.443%
50x15,1 - 5,81.099%,72.727%,3754.134%
50x15,1 - 10,86.276%,80.38%,3073.61%
50x15,1 - 20,96.308%,92.511%,779.798%
50x15,1 - 50,99.732%,99.008%,125.992%
50x15,1 - 100,99.983%,99.825%,107.867%
50x15,1 - 500,100.0%,100%,100.941%
50x15,1 - 1000,100.0%,100%,107.457%
50x20,1 - 5,77.79%,67.769%,6005.25%
50x20,1 - 10,86.742%,80.128%,4934.574%
50x20,1 - 20,96.805%,94.821%,1621.587%
50x20,1 - 50,99.79%,99.401%,130.229%
50x20,1 - 100,99.955%,99.818%,116.609%
50x20,1 - 500,100.0%,100%,104.752%
50x20,1 - 1000,100.0%,100%,104.729%
50x25,1 - 5,79.234%,72.381%,8843.294%
50x25,1 - 10,82.276%,70.588%,8321.264%
50x25,1 - 20,95.758%,93.056%,2168.1%
50x25,1 - 50,99.799%,99.449%,132.135%
50x25,1 - 100,99.931%,99.406%,112.854%
50x25,1 - 500,100.0%,100%,106.194%
50x25,1 - 1000,100.0%,100%,102.227%
50x30,1 - 5,78.017%,67.2%,13688.001%
50x30,1 - 10,83.121%,75.269%,11088.974%
50x30,1 - 20,95.081%,87.197%,3476.71%
50x30,1 - 50,99.69%,99.109%,137.843%
50x30,1 - 100,100.0%,100%,111.041%
50x30,1 - 500,100.0%,100%,105.093%
50x30,1 - 1000,100.0%,100%,99.949%
50x40,1 - 5,73.867%,65.289%,20821.235%
50x40,1 - 10,83.579%,78.495%,17844.61%
50x40,1 - 20,93.387%,87.898%,5623.343%
50x40,1 - 50,99.827%,99.34%,147.591%
50x40,1 - 100,99.981%,99.811%,113.6%
50x40,1 - 500,100.0%,100%,103.14%
50x40,1 - 1000,100.0%,100%,100.283%
50x50,1 - 5,73.291%,69.182%,32071.005%
50x50,1 - 10,78.349%,70.354%,25542.899%
50x50,1 - 20,93.643%,89.342%,6890.492%
50x50,1 - 50,99.793%,99.412%,141.405%
50x50,1 - 100,99.986%,99.862%,103.356%
50x50,1 - 500,99.999%,99.985%,99.596%
50x50,1 - 1000,100.0%,100%,100.94%
